authorDisplayName,authorProfileImageUrl,likeCount,publishedAt,updatedAt,comment
Jesse Bruner,https://yt3.ggpht.com/ytc/AOPolaT207Je-AZPnJSnmbXyqqEn1GFStJMMbOjCfRY10w=s48-c-k-c0x00ffffff-no-rj,533,2022-10-12T18:28:40Z,2022-10-12T18:29:03Z,"I was homeschooled and loved it and plan on doing it for my kids. I've done extraordinarily well for myself and experienced first hand the benefits of the flexibility/1:1 to accommodate my apd. But I want to make something clear: the real dangers of homeschooling are parents who homeschool for non-educational reasons (crt, religion, political). However, as far as education goes, if done right, it is arguably better because you get a more customized curriculum for that student needs/strengths/weaknesses."
Casandra Reed,https://yt3.ggpht.com/ytc/AOPolaQ4Lblpv67QSVa5RXA8u2OhNhbfc46GEGSZVLk5dQ=s48-c-k-c0x00ffffff-no-rj,494,2022-10-12T17:41:38Z,2023-03-20T19:44:28Z,"It will be interesting to see the advanced level of education that these non teachers provide.  For the kids sake I truly hope their experiment sets these and others up for a life of success.  Personally, Finland has the highest quality of education in the world and everyone attends public schools.  Not to mention the economic privilege that people have to even consider a homeschool option."
AJ Noreen,https://yt3.ggpht.com/ytc/AOPolaS6jGa2BRfy3ZVktkXPOkCYMhyUT7nbglYk-8wWd4c=s48-c-k-c0x00ffffff-no-rj,473,2022-10-28T16:24:51Z,2022-10-28T16:24:51Z,"As a homeschool alum, homeschooling *can* be great. It *can* be very helpful for a lot of children. But the reality is that a significant number of parents neglect their children's education and/or use homeschooling as an excuse to control and abuse their children. None of my siblings (myself included) received an adequate education and those still under 18 live in a high-control environment with little freedom."
Johanna Schmidt,https://yt3.ggpht.com/ytc/AOPolaTJ9jY5fU--sm2poxZpJ0lSJFEDD0GCHl1wNLxXzQ=s48-c-k-c0x00ffffff-no-rj,469,2022-10-21T05:34:17Z,2022-10-21T05:34:17Z,"I was homeschooled. I've been on both sides of the fence. Private school for elementary, homeschooled for middle school and most of high school and now community college. There are pros and cons to all types of education. Don't pick a side. Stay cultured. Have convictions. Explore. Try things. Love people. This is what grows good people. Not just books or the building. The school of life is my favorite."
MagicLifeArtCollection,https://yt3.ggpht.com/GsabDpyiuJDY53yswe7Tz2AyDxMVkTmjKUSj836RWr5cygMf8bTbUcc5tN3JbLJmrGrXsMeij2c=s48-c-k-c0x00ffffff-no-rj,455,2022-10-14T21:50:25Z,2022-10-14T21:50:25Z,"As a child I was a shy kid with immigrant parents who did t speak English, i struggled and thought that I was stupid , the teachers and staff wouldn’t pay attention to me as much and would give me a little extra time teaching me . I asked but was ignored. As an adult I find that I wasn’t stupid but the environment I was in at school made hard for me to grow and made me even more shy at as a teenager. My choice to homeschool my girls at least for primary school was based on my experience. I want to make sure my girls grow on their pace and not feel discouraged but build confidence."
Dragon Thorn,https://yt3.ggpht.com/ytc/AOPolaQ6l_eFpZGaz2Y7UBlleNtssx5re4C2t_opO7ADyg=s48-c-k-c0x00ffffff-no-rj,449,2022-10-12T18:21:22Z,2022-10-12T18:21:22Z,"I was home schooled for grades 9 to 12 here in Canada. It was almost exactly like school, except I could do as much or as little a day. As long as I did all the tests and had the courses finished by end of year. Up here at least, home schooling just means from home. Learn the same things as those in school..This is insanity."
Abram Hodgens,https://yt3.ggpht.com/ytc/AOPolaQ3YWm2q_TcWwM-ffBau0STIhC2LOjTYYLQid3Tcg=s48-c-k-c0x00ffffff-no-rj,435,2023-02-25T00:19:03Z,2023-02-25T00:19:03Z,"I was homeschooled for a few years and skipped a grade and finished in public school. It's crazy how much better you can learn with homeschool. Most of my cousins were homeschooled and they all have university degrees and are insanely interesting as they have a huge capacity for critical thought. Religion aside, it is not hard for homeschool to be superior academically."
Lisa K,https://yt3.ggpht.com/ytc/AOPolaQ6L2PYoYPJjpNJWbJJq7lUisgXoGhdA-S1vn0aGw=s48-c-k-c0x00ffffff-no-rj,423,2023-01-31T02:48:55Z,2023-01-31T02:48:55Z,"The teacher who almost started crying earlier in her interview and then started crying about not being able to buy her personal books, shows how stressed out teachers are and how broken this system is.  I am worry about the mental health of public school teachers, if this is what comes out during an interview about being a public school teacher... Maybe, taking kids out of the home, away from their families, maybe  taking parents away from their children to be raised by others isn't a great system. We took a potential great thing and used it and abused it. Public education was never supposed to replace the family, it was supposed to help it. ..I'm frustrated by the way this was framed. Do you know how much money is lost to families who homeschool? They do not stop paying taxes to the school system. All books, and all curriculum has to be bought by the family. The potential for an entire income is lost. Please stop framing it as if homeschool families are taking something away financial from the system. They're not. Homeschooling puts them at a great financial disadvantage. but apparently, it's worth it."
Anastasia Lee,https://yt3.ggpht.com/ytc/AOPolaQKPbJkY_tob2V0k7IONdh5FssNBURnmHvRmgaJYQ=s48-c-k-c0x00ffffff-no-rj,412,2022-10-28T14:46:25Z,2022-10-28T14:46:25Z,"I was homeschooled in Texas but both of my parents are college educated. I used to work with my mom and then I started taking classes with other homeschoolers once a week. Honestly, it was like a college. I loved it and wouldn’t have changed it for anything. I graduated from college, moved abroad, and now speak three languages. I was educated but I certainly know other “homeschoolers” that didn’t actually study. Politics don’t belong in the education system and I truly believe that more people would stay if they believed that."
Chirico S,https://yt3.ggpht.com/ytc/AOPolaSClKKJdNLb1YEJ133GrpTgGrm2by6VwjQkV1K0QA=s48-c-k-c0x00ffffff-no-rj,306,2022-10-12T19:35:35Z,2022-10-12T19:35:35Z,"I was homeschooled k-12, and while I personally have been able to achieve decent academic success, the negative social impact is not at all worth it. If you homeschool, there is a very high chance you are setting your children up for severe emotional and social dysfunction. Also, homeschooling leads children up having gaps in their education. I grew up thinking I was fundamentally terrible at math. I went to college and found out I was actually rather good at it. My parents were just bad at teaching it. There will just always be blind spots like this, even if the parents involved are not actively indoctrinating their children into Christian nationalism.  It's just a bad idea."
Chris DeLong,https://yt3.ggpht.com/ytc/AOPolaRlrioUyGzT7NgE_RGl_gDorYuuQkC8PCNlC-O57w=s48-c-k-c0x00ffffff-no-rj,282,2023-03-09T22:34:21Z,2023-03-09T22:34:21Z,"I was “unschooled” as a kid, which is an extreme form of homeschooling where I was allowed to do literally whatever I wanted every day with no curriculum of any kind. .My parents chose this just because we lived in the country far from school, not for any religious reasons. .It sounds like a crazy way to do school, but what I realized once I got to college (and got a 4.0 gpa my very first semester) is that going to a traditional school is really not important for academic success. Same once I entered the workforce and realized that being able to read and learn things on your own, think logically and creatively, and be resourceful are much more important. 10 years later and I’m happily married with kids, living a pretty typical life. ..What I’m trying to say, I guess, is that there is no right or wrong way to do school. I think that parents and the support they give to their kids is way more important, whether the kids are going to school or staying at home"
Floaty Boat,https://yt3.ggpht.com/ytc/AOPolaRXZMRAdX6SV9BoVdYo1TCeHEIfZLjsQ8_oFl-B=s48-c-k-c0x00ffffff-no-rj,265,2022-10-12T16:39:06Z,2022-10-12T16:39:06Z,"I was an online student in AZVA-K12 system in Arizona from 2010-2015. Aside from half of 8th and all of 9th, I was in online school from 7th grade onward. These systems are garbage. If you're already upset about the fact that public schools overwhelmingly care about having butts in seats for attendance money over actual education, I assure you online school is far worse. My dad used me to get government support and child support checks from my mom, and the school used me for their attendance stats. I was fully responsible and the teachers knew it. I did the work, then logged in as the parent account to input attendance then log right back out. What did they have a problem with in this situation? The fact that I was putting the real time it takes to get through their lessons, 15-20 minutes, and they wanted me to put an hour for each class regardless. They even set it up so that if you click to input your time, it always defaults to an hour so you can literally just click down the list and hit ""send"". When my grades started slipping because obviously a depressed, socially isolated teenager isn't going to play along with this obvious bullshit system, they would call ME to issue ultimatums about my grades and assignments. The only calls the PARENT got was to ask to speak to me about it. I even have one of the voicemails they left him because he emailed it to me like I'm an employee...The ""benefit"" of homeschooling can only be reaped by rich white Christians where the daddy has a well paying job handed to him and mommy stays at home. Funny how it also benefits Christians by allowing them to indoctrinate their kids better. It's almost as if homeschooling is being pushed because even private school isn't insulating enough against reality for christians."
Floaty Boat,https://yt3.ggpht.com/ytc/AOPolaRXZMRAdX6SV9BoVdYo1TCeHEIfZLjsQ8_oFl-B=s48-c-k-c0x00ffffff-no-rj,265,2022-10-12T16:39:06Z,2022-10-12T16:39:06Z,"I was an online student in AZVA-K12 system in Arizona from 2010-2015. Aside from half of 8th and all of 9th, I was in online school from 7th grade onward. These systems are garbage. If you're already upset about the fact that public schools overwhelmingly care about having butts in seats for attendance money over actual education, I assure you online school is far worse. My dad used me to get government support and child support checks from my mom, and the school used me for their attendance stats. I was fully responsible and the teachers knew it. I did the work, then logged in as the parent account to input attendance then log right back out. What did they have a problem with in this situation? The fact that I was putting the real time it takes to get through their lessons, 15-20 minutes, and they wanted me to put an hour for each class regardless. They even set it up so that if you click to input your time, it always defaults to an hour so you can literally just click down the list and hit ""send"". When my grades started slipping because obviously a depressed, socially isolated teenager isn't going to play along with this obvious bullshit system, they would call ME to issue ultimatums about my grades and assignments. The only calls the PARENT got was to ask to speak to me about it. I even have one of the voicemails they left him because he emailed it to me like I'm an employee...The ""benefit"" of homeschooling can only be reaped by rich white Christians where the daddy has a well paying job handed to him and mommy stays at home. Funny how it also benefits Christians by allowing them to indoctrinate their kids better. It's almost as if homeschooling is being pushed because even private school isn't insulating enough against reality for christians."
Floaty Boat,https://yt3.ggpht.com/ytc/AOPolaRXZMRAdX6SV9BoVdYo1TCeHEIfZLjsQ8_oFl-B=s48-c-k-c0x00ffffff-no-rj,265,2022-10-12T16:39:06Z,2022-10-12T16:39:06Z,"I was an online student in AZVA-K12 system in Arizona from 2010-2015. Aside from half of 8th and all of 9th, I was in online school from 7th grade onward. These systems are garbage. If you're already upset about the fact that public schools overwhelmingly care about having butts in seats for attendance money over actual education, I assure you online school is far worse. My dad used me to get government support and child support checks from my mom, and the school used me for their attendance stats. I was fully responsible and the teachers knew it. I did the work, then logged in as the parent account to input attendance then log right back out. What did they have a problem with in this situation? The fact that I was putting the real time it takes to get through their lessons, 15-20 minutes, and they wanted me to put an hour for each class regardless. They even set it up so that if you click to input your time, it always defaults to an hour so you can literally just click down the list and hit ""send"". When my grades started slipping because obviously a depressed, socially isolated teenager isn't going to play along with this obvious bullshit system, they would call ME to issue ultimatums about my grades and assignments. The only calls the PARENT got was to ask to speak to me about it. I even have one of the voicemails they left him because he emailed it to me like I'm an employee...The ""benefit"" of homeschooling can only be reaped by rich white Christians where the daddy has a well paying job handed to him and mommy stays at home. Funny how it also benefits Christians by allowing them to indoctrinate their kids better. It's almost as if homeschooling is being pushed because even private school isn't insulating enough against reality for christians."
Floaty Boat,https://yt3.ggpht.com/ytc/AOPolaRXZMRAdX6SV9BoVdYo1TCeHEIfZLjsQ8_oFl-B=s48-c-k-c0x00ffffff-no-rj,265,2022-10-12T16:39:06Z,2022-10-12T16:39:06Z,"I was an online student in AZVA-K12 system in Arizona from 2010-2015. Aside from half of 8th and all of 9th, I was in online school from 7th grade onward. These systems are garbage. If you're already upset about the fact that public schools overwhelmingly care about having butts in seats for attendance money over actual education, I assure you online school is far worse. My dad used me to get government support and child support checks from my mom, and the school used me for their attendance stats. I was fully responsible and the teachers knew it. I did the work, then logged in as the parent account to input attendance then log right back out. What did they have a problem with in this situation? The fact that I was putting the real time it takes to get through their lessons, 15-20 minutes, and they wanted me to put an hour for each class regardless. They even set it up so that if you click to input your time, it always defaults to an hour so you can literally just click down the list and hit ""send"". When my grades started slipping because obviously a depressed, socially isolated teenager isn't going to play along with this obvious bullshit system, they would call ME to issue ultimatums about my grades and assignments. The only calls the PARENT got was to ask to speak to me about it. I even have one of the voicemails they left him because he emailed it to me like I'm an employee...The ""benefit"" of homeschooling can only be reaped by rich white Christians where the daddy has a well paying job handed to him and mommy stays at home. Funny how it also benefits Christians by allowing them to indoctrinate their kids better. It's almost as if homeschooling is being pushed because even private school isn't insulating enough against reality for christians."
Floaty Boat,https://yt3.ggpht.com/ytc/AOPolaRXZMRAdX6SV9BoVdYo1TCeHEIfZLjsQ8_oFl-B=s48-c-k-c0x00ffffff-no-rj,265,2022-10-12T16:39:06Z,2022-10-12T16:39:06Z,"I was an online student in AZVA-K12 system in Arizona from 2010-2015. Aside from half of 8th and all of 9th, I was in online school from 7th grade onward. These systems are garbage. If you're already upset about the fact that public schools overwhelmingly care about having butts in seats for attendance money over actual education, I assure you online school is far worse. My dad used me to get government support and child support checks from my mom, and the school used me for their attendance stats. I was fully responsible and the teachers knew it. I did the work, then logged in as the parent account to input attendance then log right back out. What did they have a problem with in this situation? The fact that I was putting the real time it takes to get through their lessons, 15-20 minutes, and they wanted me to put an hour for each class regardless. They even set it up so that if you click to input your time, it always defaults to an hour so you can literally just click down the list and hit ""send"". When my grades started slipping because obviously a depressed, socially isolated teenager isn't going to play along with this obvious bullshit system, they would call ME to issue ultimatums about my grades and assignments. The only calls the PARENT got was to ask to speak to me about it. I even have one of the voicemails they left him because he emailed it to me like I'm an employee...The ""benefit"" of homeschooling can only be reaped by rich white Christians where the daddy has a well paying job handed to him and mommy stays at home. Funny how it also benefits Christians by allowing them to indoctrinate their kids better. It's almost as if homeschooling is being pushed because even private school isn't insulating enough against reality for christians."
